Order ID,Order Date,Ship Date,Customer ID,Product ID,Quantity,Unit Price,Discount,Sales,Profit,Profit Margin_x,Discount Amount,Revenue,Cost,Average Unit Price,Order Size Category,Shipping Days,Shipping Category,Order Year,Order Month,Order Quarter,Product Name,Category,Sub-Category,Product Level,Total Sales_x,Total Profit_x,Total Quantity,Total Orders_x,Avg Sales per Order,Profit Margin_y,Customer Name,Segment,Region,Total Sales_y,Total Profit_y,Total Orders_y,First Order,Last Order,Avg Order Value,Customer Lifetime Days,Customer Tier,Date,Year,Month,MonthName,Month-Year,Quarter,Day of Week,Week of Year,Is Weekend,Day of Month,Days in Month,Quarter Name,Year-Quarter,Target Sales,Target Date,Target Month-Year,Target Quarter,Target Year-Quarter
O00001,2022-06-22,2022-06-26,C0003,P0018,1,199.78,0.0,199.78,19.15,0.09585544098508358,0.0,199.78,180.63,199.78,Small,4,Fast,2022,6,2,Accessories - P0018,Technology,Accessories,Technology > Accessories,51074.61,8157.67,227,43,1187.781627906977,0.1597206518072287,Customer C0003,Consumer,East,29796.56,5838.85,24,2022-01-21,2024-11-17,1241.523333333333,1031,Platinum,2022-06-22,2022,6,Jun,Jun-2022,2,Wednesday,25,False,22,30,Q2,2022-Q2,19536.87,2022-06-01,Jun-2022,2,2022-Q2
O00002,2024-09-25,2024-09-27,C0030,P0012,5,394.25,0.0,1971.25,175.45,0.08900443880786303,0.0,1971.25,1795.8,394.25,Large,2,Same Day,2024,9,3,Computers - P0012,Technology,Computers,Technology > Computers,60341.52,10446.23,258,51,1183.167058823529,0.1731184431548957,Customer C0030,Consumer,West,34621.95,6690.15,23,2022-04-17,2024-11-29,1505.302173913043,957,Platinum,2024-09-25,2024,9,Sep,Sep-2024,3,Wednesday,39,False,25,30,Q3,2024-Q3,15685.48,2024-09-01,Sep-2024,3,2024-Q3
O00003,2022-09-20,2022-09-21,C0014,P0015,8,94.88,0.2,607.23,100.08,0.1648139914035868,121.446,728.676,507.15,75.90375,Medium,1,Same Day,2022,9,3,Bookcases - P0015,Furniture,Bookcases,Furniture > Bookcases,49916.58,8657.02,235,42,1188.49,0.1734297501952257,Customer C0014,Corporate,Central,27876.88,6040.190000000001,21,2022-04-16,2024-12-23,1327.470476190476,982,Platinum,2022-09-20,2022,9,Sep,Sep-2022,3,Tuesday,38,False,20,30,Q3,2022-Q3,26088.74,2022-09-01,Sep-2022,3,2022-Q3
O00004,2022-02-11,2022-02-12,C0031,P0015,10,180.18,0.3,1261.26,286.33,0.2270190127332984,378.378,1639.638,974.9300000000001,126.126,Medium,1,Same Day,2022,2,1,Bookcases - P0015,Furniture,Bookcases,Furniture > Bookcases,49916.58,8657.02,235,42,1188.49,0.1734297501952257,Customer C0031,Corporate,East,19553.04,3808.39,19,2022-02-11,2024-11-19,1029.107368421053,1012,Platinum,2022-02-11,2022,2,Feb,Feb-2022,1,Friday,6,False,11,28,Q1,2022-Q1,29120.94,2022-02-01,Feb-2022,1,2022-Q1
O00005,2024-06-09,2024-06-12,C0039,P0011,8,29.88,0.1,215.14,49.59,0.2305010690713024,21.514,236.654,165.55,26.8925,Small,3,Fast,2024,6,2,Tables - P0011,Furniture,Tables,Furniture > Tables,42447.25,8383.4,231,39,1088.391025641026,0.1975016049331818,Customer C0039,Consumer,West,21574.14,3808.14,20,2022-03-13,2024-09-18,1078.707,920,Platinum,2024-06-09,2024,6,Jun,Jun-2024,2,Sunday,23,True,9,30,Q2,2024-Q2,23652.34,2024-06-01,Jun-2024,2,2024-Q2
O00006,2022-12-17,2022-12-20,C0035,P0019,6,470.51,0.1,2540.75,242.53,0.09545606612220801,254.075,2794.825,2298.22,423.4583333333333,Large,3,Fast,2022,12,4,Binders - P0019,Office Supplies,Binders,Office Supplies > Binders,80274.74,13956.47,332,63,1274.202222222222,0.1738588004146759,Customer C0035,Consumer,West,27929.79,4493.94,22,2022-01-30,2024-08-21,1269.535909090909,934,Platinum,2022-12-17,2022,12,Dec,Dec-2022,4,Saturday,50,True,17,31,Q4,2022-Q4,24757.39,2022-12-01,Dec-2022,4,2022-Q4
O00007,2022-11-30,2022-12-03,C0005,P0017,7,108.03,0.3,529.35,107.41,0.2029092282988571,158.805,688.155,421.9400000000001,75.62142857142858,Medium,3,Fast,2022,11,4,Phones - P0017,Technology,Phones,Technology > Phones,69565.04000000001,11482.1,285,55,1264.818909090909,0.1650556083918014,Customer C0005,Corporate,West,35065.03,6217.92,24,2022-01-08,2024-11-08,1461.042916666667,1035,Platinum,2022-11-30,2022,11,Nov,Nov-2022,4,Wednesday,48,False,30,30,Q4,2022-Q4,15892.39,2022-11-01,Nov-2022,4,2022-Q4
O00008,2023-04-28,2023-04-29,C0012,P0016,7,23.39,0.0,163.73,20.11,0.1228241617296769,0.0,163.73,143.62,23.39,Small,1,Same Day,2023,4,2,Chairs - P0016,Furniture,Chairs,Furniture > Chairs,79145.34,13159.02,339,53,1493.308301886792,0.1662639897686964,Customer C0012,Home Office,Central,19570.71,3476.62,19,2022-02-08,2024-07-27,1030.037368421053,900,Platinum,2023-04-28,2023,4,Apr,Apr-2023,2,Friday,17,False,28,30,Q2,2023-Q2,19752.56,2023-04-01,Apr-2023,2,2023-Q2
O00009,2022-08-04,2022-08-07,C0027,P0009,3,313.69,0.1,846.96,52.23,0.06166761122130915,84.69600000000001,931.6560000000001,794.73,282.32,Medium,3,Fast,2022,8,3,Paper - P0009,Office Supplies,Paper,Office Supplies > Paper,62746.06,10597.86,285,51,1230.314901960784,0.1689008042895443,Customer C0027,Home Office,East,20272.14,3260.94,19,2022-01-02,2024-10-18,1066.954736842105,1020,Platinum,2022-08-04,2022,8,Aug,Aug-2022,3,Thursday,31,False,4,31,Q3,2022-Q3,15987.91,2022-08-01,Aug-2022,3,2022-Q3
O00010,2023-04-14,2023-04-19,C0007,P0012,5,487.4,0.2,1949.6,319.77,0.1640182601559294,389.92,2339.52,1629.83,389.92,Large,5,Fast,2023,4,2,Computers - P0012,Technology,Computers,Technology > Computers,60341.52,10446.23,258,51,1183.167058823529,0.1731184431548957,Customer C0007,Consumer,East,35912.25,5262.559999999999,21,2022-01-21,2024-10-26,1710.107142857143,1009,Platinum,2023-04-14,2023,4,Apr,Apr-2023,2,Friday,15,False,14,30,Q2,2023-Q2,18150.86,2023-04-01,Apr-2023,2,2023-Q2
O00011,2023-12-21,2023-12-25,C0018,P0002,7,396.88,0.2,2222.53,323.63,0.1456133325534413,444.5060000000001,2667.036,1898.9,317.5042857142857,Large,4,Fast,2023,12,4,Labels - P0002,Office Supplies,Labels,Office Supplies > Labels,57327.14,9788.09,236,53,1081.644150943396,0.1707409439926708,Customer C0018,Corporate,Central,27322.67,5247.47,24,2022-01-20,2024-09-05,1138.444583333333,959,Platinum,2023-12-21,2023,12,Dec,Dec-2023,4,Thursday,51,False,21,31,Q4,2023-Q4,18102.05,2023-12-01,Dec-2023,4,2023-Q4
O00012,2023-03-10,2023-03-13,C0002,P0020,10,491.95,0.0,4919.5,303.1,0.06161195243419047,0.0,4919.5,4616.4,491.95,Very Large,3,Fast,2023,3,1,Tables - P0020,Furniture,Tables,Furniture > Tables,80440.95,13946.92,367,59,1363.40593220339,0.17338084644699,Customer C0002,Consumer,Central,32646.3,4797.27,24,2022-01-05,2024-12-13,1360.2625,1073,Platinum,2023-03-10,2023,3,Mar,Mar-2023,1,Friday,10,False,10,31,Q1,2023-Q1,26918.43,2023-03-01,Mar-2023,1,2023-Q1
O00013,2022-12-19,2022-12-20,C0004,P0013,4,311.62,0.0,1246.48,202.71,0.1626259546884025,0.0,1246.48,1043.77,311.62,Medium,1,Same Day,2022,12,4,Computers - P0013,Technology,Computers,Technology > Computers,53337.2,9876.13,210,43,1240.4,0.1851640131090496,Customer C0004,Home Office,South,17548.81,2834.01,19,2022-02-22,2024-09-26,923.6215789473684,947,Platinum,2022-12-19,2022,12,Dec,Dec-2022,4,Monday,51,False,19,31,Q4,2022-Q4,26682.89,2022-12-01,Dec-2022,4,2022-Q4
O00014,2022-11-14,2022-11-15,C0004,P0017,7,26.37,0.0,184.59,53.79,0.2914025678530798,0.0,184.59,130.8,26.37,Small,1,Same Day,2022,11,4,Phones - P0017,Technology,Phones,Technology > Phones,69565.04000000001,11482.1,285,55,1264.818909090909,0.1650556083918014,Customer C0004,Home Office,South,17548.81,2834.01,19,2022-02-22,2024-09-26,923.6215789473684,947,Platinum,2022-11-14,2022,11,Nov,Nov-2022,4,Monday,46,False,14,30,Q4,2022-Q4,15892.39,2022-11-01,Nov-2022,4,2022-Q4
O00015,2024-07-11,2024-07-12,C0038,P0017,10,408.03,0.0,4080.3,220.3,0.05399112810332574,0.0,4080.3,3860.0,408.03,Very Large,1,Same Day,2024,7,3,Phones - P0017,Technology,Phones,Technology > Phones,69565.04000000001,11482.1,285,55,1264.818909090909,0.1650556083918014,Customer C0038,Home Office,West,21115.18,2703.52,19,2022-01-02,2024-08-20,1111.325263157895,961,Platinum,2024-07-11,2024,7,Jul,Jul-2024,3,Thursday,28,False,11,31,Q3,2024-Q3,21050.02,2024-07-01,Jul-2024,3,2024-Q3
O00016,2023-10-06,2023-10-10,C0008,P0001,9,130.83,0.3,824.23,131.91,0.1600402800189268,247.269,1071.499,692.32,91.58111111111111,Medium,4,Fast,2023,10,4,Paper - P0001,Office Supplies,Paper,Office Supplies > Paper,76224.9,14532.46,324,52,1465.863461538461,0.1906523983632645,Customer C0008,Home Office,West,28130.13,4939.21,22,2022-03-13,2024-12-18,1278.642272727273,1011,Platinum,2023-10-06,2023,10,Oct,Oct-2023,4,Friday,40,False,6,31,Q4,2023-Q4,18057.47,2023-10-01,Oct-2023,4,2023-Q4
O00017,2023-08-14,2023-08-17,C0014,P0011,6,78.58,0.0,471.48,121.78,0.2582930346992449,0.0,471.48,349.7,78.58,Small,3,Fast,2023,8,3,Tables - P0011,Furniture,Tables,Furniture > Tables,42447.25,8383.4,231,39,1088.391025641026,0.1975016049331818,Customer C0014,Corporate,Central,27876.88,6040.190000000001,21,2022-04-16,2024-12-23,1327.470476190476,982,Platinum,2023-08-14,2023,8,Aug,Aug-2023,3,Monday,33,False,14,31,Q3,2023-Q3,15991.31,2023-08-01,Aug-2023,3,2023-Q3
O00018,2024-01-25,2024-01-28,C0009,P0016,10,103.22,0.0,1032.2,118.39,0.1146967641929859,0.0,1032.2,913.8100000000001,103.22,Medium,3,Fast,2024,1,1,Chairs - P0016,Furniture,Chairs,Furniture > Chairs,79145.34,13159.02,339,53,1493.308301886792,0.1662639897686964,Customer C0009,Consumer,West,43159.42,7469.65,38,2022-02-09,2024-10-19,1135.774210526316,983,Platinum,2024-01-25,2024,1,Jan,Jan-2024,1,Thursday,4,False,25,31,Q1,2024-Q1,16429.91,2024-01-01,Jan-2024,1,2024-Q1
O00019,2022-01-12,2022-01-14,C0010,P0013,2,338.01,0.1,608.42,95.09,0.1562900627855758,60.842,669.262,513.3299999999999,304.21,Medium,2,Same Day,2022,1,1,Computers - P0013,Technology,Computers,Technology > Computers,53337.2,9876.13,210,43,1240.4,0.1851640131090496,Customer C0010,Corporate,West,24628.78,4786.97,18,2022-01-12,2024-10-05,1368.265555555555,997,Platinum,2022-01-12,2022,1,Jan,Jan-2022,1,Wednesday,2,False,12,31,Q1,2022-Q1,21470.58,2022-01-01,Jan-2022,1,2022-Q1
O00020,2022-08-01,2022-08-03,C0015,P0020,2,119.81,0.3,167.73,16.14,0.09622607762475408,50.319,218.049,151.59,83.865,Small,2,Same Day,2022,8,3,Tables - P0020,Furniture,Tables,Furniture > Tables,80440.95,13946.92,367,59,1363.40593220339,0.17338084644699,Customer C0015,Consumer,Central,12468.99,2332.82,13,2022-03-08,2024-12-26,959.1530769230769,1024,Platinum,2022-08-01,2022,8,Aug,Aug-2022,3,Monday,31,False,1,31,Q3,2022-Q3,12688.7,2022-08-01,Aug-2022,3,2022-Q3
O00021,2024-07-31,2024-08-02,C0007,P0016,9,485.4,0.1,3931.74,638.67,0.16243953058951,393.174,4324.914,3293.07,436.86,Very Large,2,Same Day,2024,7,3,Chairs - P0016,Furniture,Chairs,Furniture > Chairs,79145.34,13159.02,339,53,1493.308301886792,0.1662639897686964,Customer C0007,Consumer,East,35912.25,5262.559999999999,21,2022-01-21,2024-10-26,1710.107142857143,1009,Platinum,2024-07-31,2024,7,Jul,Jul-2024,3,Wednesday,31,False,31,31,Q3,2024-Q3,26450.7,2024-07-01,Jul-2024,3,2024-Q3
O00022,2022-07-31,2022-08-05,C0007,P0006,10,209.67,0.3,1467.69,292.77,0.1994767287369948,440.307,1907.997,1174.92,146.769,Medium,5,Fast,2022,7,3,Phones - P0006,Technology,Phones,Technology > Phones,60829.13,10935.28,276,47,1294.236808510638,0.1797704487964895,Customer C0007,Consumer,East,35912.25,5262.559999999999,21,2022-01-21,2024-10-26,1710.107142857143,1009,Platinum,2022-07-31,2022,7,Jul,Jul-2022,3,Sunday,30,True,31,31,Q3,2022-Q3,23850.65,2022-07-01,Jul-2022,3,2022-Q3
O00023,2024-01-20,2024-01-25,C0036,P0019,7,462.5,0.3,2266.25,436.5,0.1926089354660783,679.875,2946.125,1829.75,323.75,Large,5,Fast,2024,1,1,Binders - P0019,Office Supplies,Binders,Office Supplies > Binders,80274.74,13956.47,332,63,1274.202222222222,0.1738588004146759,Customer C0036,Corporate,East,51399.27,9523.64,35,2022-01-31,2024-12-29,1468.550571428571,1063,Platinum,2024-01-20,2024,1,Jan,Jan-2024,1,Saturday,3,True,20,31,Q1,2024-Q1,19528.74,2024-01-01,Jan-2024,1,2024-Q1
O00024,2023-05-25,2023-05-29,C0050,P0019,8,270.0,0.1,1944.0,255.31,0.131332304526749,194.4,2138.4,1688.69,243.0,Large,4,Fast,2023,5,2,Binders - P0019,Office Supplies,Binders,Office Supplies > Binders,80274.74,13956.47,332,63,1274.202222222222,0.1738588004146759,Customer C0050,Consumer,South,13801.83,2367.42,13,2022-11-06,2024-06-14,1061.679230769231,586,Platinum,2023-05-25,2023,5,May,May-2023,2,Thursday,21,False,25,31,Q2,2023-Q2,11320.2,2023-05-01,May-2023,2,2023-Q2
O00025,2022-07-21,2022-07-24,C0043,P0012,4,206.57,0.1,743.65,137.52,0.184925704296376,74.365,818.015,606.13,185.9125,Medium,3,Fast,2022,7,3,Computers - P0012,Technology,Computers,Technology > Computers,60341.52,10446.23,258,51,1183.167058823529,0.1731184431548957,Customer C0043,Corporate,South,26176.63,3265.68,23,2022-02-02,2024-12-08,1138.114347826087,1040,Platinum,2022-07-21,2022,7,Jul,Jul-2022,3,Thursday,29,False,21,31,Q3,2022-Q3,23850.65,2022-07-01,Jul-2022,3,2022-Q3
O00026,2024-12-19,2024-12-20,C0036,P0012,5,301.64,0.0,1508.2,181.34,0.120236042965124,0.0,1508.2,1326.86,301.64,Large,1,Same Day,2024,12,4,Computers - P0012,Technology,Computers,Technology > Computers,60341.52,10446.23,258,51,1183.167058823529,0.1731184431548957,Customer C0036,Corporate,East,51399.27,9523.64,35,2022-01-31,2024-12-29,1468.550571428571,1063,Platinum,2024-12-19,2024,12,Dec,Dec-2024,4,Thursday,51,False,19,31,Q4,2024-Q4,15523.39,2024-12-01,Dec-2024,4,2024-Q4
O00027,2023-10-12,2023-10-13,C0044,P0008,5,280.49,0.0,1402.45,174.0,0.1240685942457842,0.0,1402.45,1228.45,280.49,Medium,1,Same Day,2023,10,4,Phones - P0008,Technology,Phones,Technology > Phones,72995.87,13795.03,308,53,1377.280566037736,0.1889837055164902,Customer C0044,Home Office,Central,22268.45,3625.67,17,2022-01-20,2024-12-20,1309.908823529412,1065,Platinum,2023-10-12,2023,10,Oct,Oct-2023,4,Thursday,41,False,12,31,Q4,2023-Q4,15905.81,2023-10-01,Oct-2023,4,2023-Q4
O00028,2022-01-22,2022-01-24,C0045,P0014,4,99.33,0.0,397.32,117.89,0.2967129769455351,0.0,397.32,279.43,99.33,Small,2,Same Day,2022,1,1,Computers - P0014,Technology,Computers,Technology > Computers,62081.0,10241.83,323,58,1070.362068965517,0.1649752742384949,Customer C0045,Home Office,South,23062.34,3306.89,17,2022-01-22,2024-12-15,1356.608235294118,1058,Platinum,2022-01-22,2022,1,Jan,Jan-2022,1,Saturday,3,True,22,31,Q1,2022-Q1,21470.58,2022-01-01,Jan-2022,1,2022-Q1
O00029,2024-05-20,2024-05-22,C0022,P0002,2,390.68,0.3,546.95,67.48,0.1233750799890301,164.085,711.0350000000001,479.47,273.475,Medium,2,Same Day,2024,5,2,Labels - P0002,Office Supplies,Labels,Office Supplies > Labels,57327.14,9788.09,236,53,1081.644150943396,0.1707409439926708,Customer C0022,Home Office,East,22229.56,3694.21,20,2022-05-21,2024-12-13,1111.478,937,Platinum,2024-05-20,2024,5,May,May-2024,2,Monday,21,False,20,31,Q2,2024-Q2,22495.68,2024-05-01,May-2024,2,2024-Q2
O00030,2024-12-17,2024-12-21,C0042,P0018,10,26.76,0.2,214.08,48.54,0.226737668161435,42.816,256.896,165.54,21.408,Small,4,Fast,2024,12,4,Accessories - P0018,Technology,Accessories,Technology > Accessories,51074.61,8157.67,227,43,1187.781627906977,0.1597206518072287,Customer C0042,Consumer,Central,14743.89,3103.11,13,2022-11-15,2024-12-17,1134.145384615385,763,Platinum,2024-12-17,2024,12,Dec,Dec-2024,4,Tuesday,51,False,17,31,Q4,2024-Q4,15523.39,2024-12-01,Dec-2024,4,2024-Q4
O00031,2022-12-04,2022-12-06,C0003,P0008,4,369.92,0.0,1479.68,298.14,0.2014895112456747,0.0,1479.68,1181.54,369.92,Medium,2,Same Day,2022,12,4,Phones - P0008,Technology,Phones,Technology > Phones,72995.87,13795.03,308,53,1377.280566037736,0.1889837055164902,Customer C0003,Consumer,East,29796.56,5838.85,24,2022-01-21,2024-11-17,1241.523333333333,1031,Platinum,2022-12-04,2022,12,Dec,Dec-2022,4,Sunday,48,True,4,31,Q4,2022-Q4,26682.89,2022-12-01,Dec-2022,4,2022-Q4
